scientific_name,family,venomous_status,iucn_status,source,binomial_base,image_count,coverage_status
Oligodon taeniolatus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon taeniolatus,189,EXCELLENT (>=100)
Bungarus caeruleus,Elapidae,venomous,LC,ZSI-2025,Bungarus caeruleus,182,EXCELLENT (>=100)
Eryx conicus,Boidae,non-venomous,LC,ZSI-2025,Eryx conicus,179,EXCELLENT (>=100)
Lycodon anamallensis,Colubridae,non-venomous,LC,ZSI-2025,Lycodon anamallensis,170,EXCELLENT (>=100)
Cerberus schneiderii,Homalopsidae,mildly venomous,LC,ZSI-2025,Cerberus schneiderii,169,EXCELLENT (>=100)
Coelognathus flavolineatus,Colubridae,non-venomous,LC,ZSI-2025,Coelognathus flavolineatus,168,EXCELLENT (>=100)
Ahaetulla mycterizans,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla mycterizans,159,EXCELLENT (>=100)
Naja kaouthia,Elapidae,venomous,LC,ZSI-2025,Naja kaouthia,154,EXCELLENT (>=100)
Rhabdophis chrysargos,Colubridae,mildly venomous,LC,ZSI-2025,Rhabdophis chrysargos,146,EXCELLENT (>=100)
Oreocryptophis porphyraceus porphyraceus,Colubridae,non-venomous,LC,ZSI-2025,Oreocryptophis porphyraceus,137,EXCELLENT (>=100)
Oreocryptophis porphyraceus nigrofasciata,Colubridae,non-venomous,LC,ZSI-2025,Oreocryptophis porphyraceus,137,EXCELLENT (>=100)
Pareas margaritophorus,Pareidae,non-venomous,LC,ZSI-2025,Pareas margaritophorus,131,EXCELLENT (>=100)
Ahaetulla oxyrhyncha,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla oxyrhyncha,126,EXCELLENT (>=100)
Laticauda laticaudata,Elapidae,venomous,LC,ZSI-2025,Laticauda laticaudata,121,EXCELLENT (>=100)
Homalopsis buccata,Homalopsidae,mildly venomous,LC,ZSI-2025,Homalopsis buccata,118,EXCELLENT (>=100)
Sinomicrurus macclellandi macclellandi,Elapidae,venomous,LC,ZSI-2025,Sinomicrurus macclellandi,115,EXCELLENT (>=100)
Trimeresurus popeiorum,Viperidae,venomous,LC,ZSI-2025,Trimeresurus popeiorum,115,EXCELLENT (>=100)
Sinomicrurus macclellandi univirgatus,Elapidae,venomous,LC,ZSI-2025,Sinomicrurus macclellandi,115,EXCELLENT (>=100)
Acrochordus granulatus,Acrochordidae,non-venomous,LC,ZSI-2025,Acrochordus granulatus,114,EXCELLENT (>=100)
Lycodon travancoricus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon travancoricus,109,EXCELLENT (>=100)
Boiga trigonata,Colubridae,mildly venomous,LC,ZSI-2025,Boiga trigonata,99,GOOD (30-99)
Boiga cynodon,Colubridae,mildly venomous,LC,ZSI-2025,Boiga cynodon,96,GOOD (30-99)
Hebius beddomei,Colubridae,non-venomous,LC,ZSI-2025,Hebius beddomei,94,GOOD (30-99)
Ahaetulla nasuta,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla nasuta,91,GOOD (30-99)
Eryx johnii,Boidae,non-venomous,NT,ZSI-2025,Eryx johnii,88,GOOD (30-99)
Boiga cyanea,Colubridae,mildly venomous,LC,ZSI-2025,Boiga cyanea,86,GOOD (30-99)
Psammophis schokari,Psammophiidae,mildly venomous,LC,ZSI-2025,Psammophis schokari,79,GOOD (30-99)
Spalerosophis diadema,Colubridae,non-venomous,LC,ZSI-2025,Spalerosophis diadema,78,GOOD (30-99)
Calamaria pavimentata,Colubridae,non-venomous,LC,ZSI-2025,Calamaria pavimentata,74,GOOD (30-99)
Hydrophis schistosus,Elapidae,venomous,LC,ZSI-2025,Hydrophis schistosus,72,GOOD (30-99)
Sibynophis subpunctatus,Colubridae,non-venomous,LC,ZSI-2025,Sibynophis subpunctatus,70,GOOD (30-99)
Lycodon striatus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon striatus,70,GOOD (30-99)
Dendrelaphis cyanochloris,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis cyanochloris,65,GOOD (30-99)
Atretium schistosum,Colubridae,non-venomous,LC,ZSI-2025,Atretium schistosum,63,GOOD (30-99)
Opisthotropis andersonii,Colubridae,non-venomous,LC,ZSI-2025,Opisthotropis andersonii,61,GOOD (30-99)
Platyceps rhodorachis,Colubridae,non-venomous,LC,ZSI-2025,Platyceps rhodorachis,60,GOOD (30-99)
Ptyas carinata,Colubridae,non-venomous,LC,ZSI-2025,Ptyas carinata,60,GOOD (30-99)
Boiga siamensis,Colubridae,mildly venomous,LC,ZSI-2025,Boiga siamensis,60,GOOD (30-99)
Ahaetulla farnsworthi,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla farnsworthi,57,GOOD (30-99)
Calliophis nigrescens,Elapidae,venomous,LC,ZSI-2025,Calliophis nigrescens,54,GOOD (30-99)
Ovophis monticola,Viperidae,venomous,LC,ZSI-2025,Ovophis monticola,51,GOOD (30-99)
Oligodon purpurascens,Colubridae,non-venomous,LC,ZSI-2025,Oligodon purpurascens,50,GOOD (30-99)
Boiga forsteni,Colubridae,mildly venomous,LC,ZSI-2025,Boiga forsteni,49,GOOD (30-99)
Pseudoxenodon macrops,Colubridae,non-venomous,LC,ZSI-2025,Pseudoxenodon macrops,48,GOOD (30-99)
Dendrelaphis grandoculis,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis grandoculis,48,GOOD (30-99)
Dendrelaphis girii,Colubridae,non-venomous,NE,ZSI-2025,Dendrelaphis girii,48,GOOD (30-99)
Cerberus rynchops,Homalopsidae,mildly venomous,LC,ZSI-2025,Cerberus rynchops,46,GOOD (30-99)
Boiga beddomei,Colubridae,mildly venomous,LC,ZSI-2025,Boiga beddomei,44,GOOD (30-99)
Sibynophis collaris,Colubridae,non-venomous,LC,ZSI-2025,Sibynophis collaris,42,GOOD (30-99)
Oligodon cinereus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon cinereus,42,GOOD (30-99)
Ahaetulla isabellina,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla isabellina,41,GOOD (30-99)
Dendrelaphis subocularis,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis subocularis,39,GOOD (30-99)
Trimeresurus erythrurus,Viperidae,venomous,LC,ZSI-2025,Trimeresurus erythrurus,37,GOOD (30-99)
Trimeresurus septentrionalis,Viperidae,venomous,LC,ZSI-2025,Trimeresurus septentrionalis,36,GOOD (30-99)
Ahaetulla sahyadrensis,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla sahyadrensis,36,GOOD (30-99)
Euprepiophis mandarinus,Colubridae,non-venomous,LC,ZSI-2025,Euprepiophis mandarinus,35,GOOD (30-99)
Hypnale zara,Viperidae,venomous,LC,ZSI-2025,Hypnale zara,34,GOOD (30-99)
Gloydius himalayanus,Viperidae,venomous,LC,ZSI-2025,Gloydius himalayanus,31,GOOD (30-99)
Calamaria septentrionalis,Colubridae,non-venomous,LC,ZSI-2025,Calamaria septentrionalis,31,GOOD (30-99)
Hydrophis curtus,Elapidae,venomous,LC,ZSI-2025,Hydrophis curtus,31,GOOD (30-99)
Eryx whitakeri,Boidae,non-venomous,LC,ZSI-2025,Eryx whitakeri,30,GOOD (30-99)
