scientific_name,family,venomous_status,iucn_status,source,binomial_base,image_count,coverage_status
Oligodon taeniolatus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon taeniolatus,189,EXCELLENT (>=100)
Bungarus caeruleus,Elapidae,venomous,LC,ZSI-2025,Bungarus caeruleus,182,EXCELLENT (>=100)
Eryx conicus,Boidae,non-venomous,LC,ZSI-2025,Eryx conicus,179,EXCELLENT (>=100)
Lycodon anamallensis,Colubridae,non-venomous,LC,ZSI-2025,Lycodon anamallensis,170,EXCELLENT (>=100)
Cerberus schneiderii,Homalopsidae,mildly venomous,LC,ZSI-2025,Cerberus schneiderii,169,EXCELLENT (>=100)
Coelognathus flavolineatus,Colubridae,non-venomous,LC,ZSI-2025,Coelognathus flavolineatus,168,EXCELLENT (>=100)
Ahaetulla mycterizans,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla mycterizans,159,EXCELLENT (>=100)
Naja kaouthia,Elapidae,venomous,LC,ZSI-2025,Naja kaouthia,154,EXCELLENT (>=100)
Rhabdophis chrysargos,Colubridae,mildly venomous,LC,ZSI-2025,Rhabdophis chrysargos,146,EXCELLENT (>=100)
Oreocryptophis porphyraceus porphyraceus,Colubridae,non-venomous,LC,ZSI-2025,Oreocryptophis porphyraceus,137,EXCELLENT (>=100)
Oreocryptophis porphyraceus nigrofasciata,Colubridae,non-venomous,LC,ZSI-2025,Oreocryptophis porphyraceus,137,EXCELLENT (>=100)
Pareas margaritophorus,Pareidae,non-venomous,LC,ZSI-2025,Pareas margaritophorus,131,EXCELLENT (>=100)
Ahaetulla oxyrhyncha,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla oxyrhyncha,126,EXCELLENT (>=100)
Laticauda laticaudata,Elapidae,venomous,LC,ZSI-2025,Laticauda laticaudata,121,EXCELLENT (>=100)
Homalopsis buccata,Homalopsidae,mildly venomous,LC,ZSI-2025,Homalopsis buccata,118,EXCELLENT (>=100)
Sinomicrurus macclellandi macclellandi,Elapidae,venomous,LC,ZSI-2025,Sinomicrurus macclellandi,115,EXCELLENT (>=100)
Trimeresurus popeiorum,Viperidae,venomous,LC,ZSI-2025,Trimeresurus popeiorum,115,EXCELLENT (>=100)
Sinomicrurus macclellandi univirgatus,Elapidae,venomous,LC,ZSI-2025,Sinomicrurus macclellandi,115,EXCELLENT (>=100)
Acrochordus granulatus,Acrochordidae,non-venomous,LC,ZSI-2025,Acrochordus granulatus,114,EXCELLENT (>=100)
Lycodon travancoricus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon travancoricus,109,EXCELLENT (>=100)
Boiga trigonata,Colubridae,mildly venomous,LC,ZSI-2025,Boiga trigonata,99,GOOD (30-99)
Boiga cynodon,Colubridae,mildly venomous,LC,ZSI-2025,Boiga cynodon,96,GOOD (30-99)
Hebius beddomei,Colubridae,non-venomous,LC,ZSI-2025,Hebius beddomei,94,GOOD (30-99)
Ahaetulla nasuta,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla nasuta,91,GOOD (30-99)
Eryx johnii,Boidae,non-venomous,NT,ZSI-2025,Eryx johnii,88,GOOD (30-99)
Boiga cyanea,Colubridae,mildly venomous,LC,ZSI-2025,Boiga cyanea,86,GOOD (30-99)
Psammophis schokari,Psammophiidae,mildly venomous,LC,ZSI-2025,Psammophis schokari,79,GOOD (30-99)
Spalerosophis diadema,Colubridae,non-venomous,LC,ZSI-2025,Spalerosophis diadema,78,GOOD (30-99)
Calamaria pavimentata,Colubridae,non-venomous,LC,ZSI-2025,Calamaria pavimentata,74,GOOD (30-99)
Hydrophis schistosus,Elapidae,venomous,LC,ZSI-2025,Hydrophis schistosus,72,GOOD (30-99)
Sibynophis subpunctatus,Colubridae,non-venomous,LC,ZSI-2025,Sibynophis subpunctatus,70,GOOD (30-99)
Lycodon striatus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon striatus,70,GOOD (30-99)
Dendrelaphis cyanochloris,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis cyanochloris,65,GOOD (30-99)
Atretium schistosum,Colubridae,non-venomous,LC,ZSI-2025,Atretium schistosum,63,GOOD (30-99)
Opisthotropis andersonii,Colubridae,non-venomous,LC,ZSI-2025,Opisthotropis andersonii,61,GOOD (30-99)
Platyceps rhodorachis,Colubridae,non-venomous,LC,ZSI-2025,Platyceps rhodorachis,60,GOOD (30-99)
Ptyas carinata,Colubridae,non-venomous,LC,ZSI-2025,Ptyas carinata,60,GOOD (30-99)
Boiga siamensis,Colubridae,mildly venomous,LC,ZSI-2025,Boiga siamensis,60,GOOD (30-99)
Ahaetulla farnsworthi,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla farnsworthi,57,GOOD (30-99)
Calliophis nigrescens,Elapidae,venomous,LC,ZSI-2025,Calliophis nigrescens,54,GOOD (30-99)
Ovophis monticola,Viperidae,venomous,LC,ZSI-2025,Ovophis monticola,51,GOOD (30-99)
Oligodon purpurascens,Colubridae,non-venomous,LC,ZSI-2025,Oligodon purpurascens,50,GOOD (30-99)
Boiga forsteni,Colubridae,mildly venomous,LC,ZSI-2025,Boiga forsteni,49,GOOD (30-99)
Pseudoxenodon macrops,Colubridae,non-venomous,LC,ZSI-2025,Pseudoxenodon macrops,48,GOOD (30-99)
Dendrelaphis grandoculis,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis grandoculis,48,GOOD (30-99)
Dendrelaphis girii,Colubridae,non-venomous,NE,ZSI-2025,Dendrelaphis girii,48,GOOD (30-99)
Cerberus rynchops,Homalopsidae,mildly venomous,LC,ZSI-2025,Cerberus rynchops,46,GOOD (30-99)
Boiga beddomei,Colubridae,mildly venomous,LC,ZSI-2025,Boiga beddomei,44,GOOD (30-99)
Sibynophis collaris,Colubridae,non-venomous,LC,ZSI-2025,Sibynophis collaris,42,GOOD (30-99)
Oligodon cinereus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon cinereus,42,GOOD (30-99)
Ahaetulla isabellina,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla isabellina,41,GOOD (30-99)
Dendrelaphis subocularis,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis subocularis,39,GOOD (30-99)
Trimeresurus erythrurus,Viperidae,venomous,LC,ZSI-2025,Trimeresurus erythrurus,37,GOOD (30-99)
Trimeresurus septentrionalis,Viperidae,venomous,LC,ZSI-2025,Trimeresurus septentrionalis,36,GOOD (30-99)
Ahaetulla sahyadrensis,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla sahyadrensis,36,GOOD (30-99)
Euprepiophis mandarinus,Colubridae,non-venomous,LC,ZSI-2025,Euprepiophis mandarinus,35,GOOD (30-99)
Hypnale zara,Viperidae,venomous,LC,ZSI-2025,Hypnale zara,34,GOOD (30-99)
Gloydius himalayanus,Viperidae,venomous,LC,ZSI-2025,Gloydius himalayanus,31,GOOD (30-99)
Calamaria septentrionalis,Colubridae,non-venomous,LC,ZSI-2025,Calamaria septentrionalis,31,GOOD (30-99)
Hydrophis curtus,Elapidae,venomous,LC,ZSI-2025,Hydrophis curtus,31,GOOD (30-99)
Eryx whitakeri,Boidae,non-venomous,LC,ZSI-2025,Eryx whitakeri,30,GOOD (30-99)
Hebius monticola,Colubridae,non-venomous,LC,ZSI-2025,Hebius monticola,29,LOW (10-29)
Craspedocephalus macrolepis,Viperidae,venomous,NT,ZSI-2025,Craspedocephalus macrolepis,29,LOW (10-29)
Fordonia leucobalia,Homalopsidae,mildly venomous,LC,ZSI-2025,Fordonia leucobalia,28,LOW (10-29)
Boiga ceylonensis,Colubridae,mildly venomous,LC,ZSI-2025,Boiga ceylonensis,28,LOW (10-29)
Argyrogena fasciolata,Colubridae,non-venomous,LC,ZSI-2025,Argyrogena fasciolata,28,LOW (10-29)
Uropeltis macrolepis mahabaleshwarensis,Uropeltidae,non-venomous,NE,ZSI-2025,Uropeltis macrolepis,28,LOW (10-29)
Uropeltis macrolepis macrolepis,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis macrolepis,28,LOW (10-29)
Calliophis maculiceps,Elapidae,venomous,LC,ZSI-2025,Calliophis maculiceps,27,LOW (10-29)
Hydrophis lapemoides,Elapidae,venomous,LC,ZSI-2025,Hydrophis lapemoides,27,LOW (10-29)
Myriopholis macrorhyncha,Leptotyphlopidae,non-venomous,LC,ZSI-2025,Myriopholis macrorhyncha,27,LOW (10-29)
Melanophidium wynaudense,Uropeltidae,non-venomous,LC,ZSI-2025,Melanophidium wynaudense,26,LOW (10-29)
Lycodon fasciatus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon fasciatus,26,LOW (10-29)
Psammophis lineolatus,Psammophiidae,mildly venomous,LC,ZSI-2025,Psammophis lineolatus,25,LOW (10-29)
Gerarda prevostiana,Homalopsidae,mildly venomous,LC,ZSI-2025,Gerarda prevostiana,22,LOW (10-29)
Dieurostus dussumieri,Homalopsidae,mildly venomous,LC,ZSI-2025,Dieurostus dussumieri,22,LOW (10-29)
Plagiopholis nuchalis,Colubridae,non-venomous,LC,ZSI-2025,Plagiopholis nuchalis,20,LOW (10-29)
Boiga flaviviridis,Colubridae,mildly venomous,NE,ZSI-2025,Boiga flaviviridis,19,LOW (10-29)
Rhabdophis himalayanus,Colubridae,mildly venomous,LC,ZSI-2025,Rhabdophis himalayanus,19,LOW (10-29)
Uropeltis ellioti,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis ellioti,19,LOW (10-29)
Chrysopelea taprobanica,Colubridae,mildly venomous,LC,ZSI-2025,Chrysopelea taprobanica,18,LOW (10-29)
Lycodon albofuscus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon albofuscus,17,LOW (10-29)
Trimeresurus gumprechti,Viperidae,venomous,LC,ZSI-2025,Trimeresurus gumprechti,17,LOW (10-29)
Protobothrops jerdonii,Viperidae,venomous,LC,ZSI-2025,Protobothrops jerdonii,16,LOW (10-29)
Hebius khasiensis,Colubridae,non-venomous,LC,ZSI-2025,Hebius khasiensis,16,LOW (10-29)
Bungarus niger,Elapidae,venomous,LC,ZSI-2025,Bungarus niger,16,LOW (10-29)
Argyrophis muelleri,Typhlopidae,non-venomous,LC,ZSI-2025,Argyrophis muelleri,15,LOW (10-29)
Boiga multifasciata,Colubridae,mildly venomous,LC,ZSI-2025,Boiga multifasciata,15,LOW (10-29)
Hydrophis cyanocinctus,Elapidae,venomous,LC,ZSI-2025,Hydrophis cyanocinctus,14,LOW (10-29)
Craspedocephalus borneensis,Viperidae,venomous,LC,ZSI-2025,Craspedocephalus borneensis,14,LOW (10-29)
Gonyosoma frenatum,Colubridae,non-venomous,LC,ZSI-2025,Gonyosoma frenatum,14,LOW (10-29)
Phytolopsis punctata,Homalopsidae,mildly venomous,LC,ZSI-2025,Phytolopsis punctata,13,LOW (10-29)
Hydrophis spiralis,Elapidae,venomous,LC,ZSI-2025,Hydrophis spiralis,12,LOW (10-29)
Oligodon affinis,Colubridae,non-venomous,LC,ZSI-2025,Oligodon affinis,11,LOW (10-29)
Rhabdops olivaceus,Colubridae,non-venomous,LC,ZSI-2025,Rhabdops olivaceus,11,LOW (10-29)
Hydrophis ornatus,Elapidae,venomous,LC,ZSI-2025,Hydrophis ornatus,11,LOW (10-29)
Elaphe cantoris,Colubridae,non-venomous,LC,ZSI-2025,Elaphe cantoris,11,LOW (10-29)
Calliophis bibroni,Elapidae,venomous,LC,ZSI-2025,Calliophis bibroni,10,LOW (10-29)
Lycodon jara,Colubridae,non-venomous,LC,ZSI-2025,Lycodon jara,10,LOW (10-29)
Naja oxiana,Elapidae,venomous,NT,ZSI-2025,Naja oxiana,9,CRITICAL (1-9)
Sibynophis triangularis,Colubridae,non-venomous,LC,ZSI-2025,Sibynophis triangularis,9,CRITICAL (1-9)
Uropeltis ceylanica,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis ceylanica,9,CRITICAL (1-9)
Melanophidium khairei,Uropeltidae,non-venomous,DD,ZSI-2025,Melanophidium khairei,9,CRITICAL (1-9)
Gonyosoma coeruleum,Colubridae,non-venomous,NE,ZSI-2025,Gonyosoma coeruleum,8,CRITICAL (1-9)
Liopeltis calamaria,Colubridae,non-venomous,LC,ZSI-2025,Liopeltis calamaria,8,CRITICAL (1-9)
Boiga nuchalis,Colubridae,mildly venomous,LC,ZSI-2025,Boiga nuchalis,8,CRITICAL (1-9)
Platyplectrurus madurensis madurensis,Uropeltidae,non-venomous,EN,ZSI-2025,Platyplectrurus madurensis,8,CRITICAL (1-9)
Platyceps ventromaculatus,Colubridae,non-venomous,LC,ZSI-2025,Platyceps ventromaculatus,8,CRITICAL (1-9)
Platyplectrurus madurensis ruhstrati,Uropeltidae,non-venomous,DD,ZSI-2025,Platyplectrurus madurensis,8,CRITICAL (1-9)
Calliophis melanurus,Elapidae,venomous,LC,ZSI-2025,Calliophis melanurus,7,CRITICAL (1-9)
Oligodon albocinctus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon albocinctus,7,CRITICAL (1-9)
Boiga barnesii,Colubridae,mildly venomous,LC,ZSI-2025,Boiga barnesii,7,CRITICAL (1-9)
Trimeresurus salazar,Viperidae,venomous,NE,ZSI-2025,Trimeresurus salazar,6,CRITICAL (1-9)
Plectrurus perroteti,Uropeltidae,non-venomous,LC,ZSI-2025,Plectrurus perroteti,6,CRITICAL (1-9)
Pareas macularius,Pareidae,non-venomous,LC,ZSI-2025,Pareas macularius,6,CRITICAL (1-9)
Argyrophis diardii,Typhlopidae,non-venomous,LC,ZSI-2025,Argyrophis diardii,6,CRITICAL (1-9)
Pareas monticola,Pareidae,non-venomous,LC,ZSI-2025,Pareas monticola,5,CRITICAL (1-9)
Boiga ochracea,Colubridae,mildly venomous,LC,ZSI-2025,Boiga ochracea,5,CRITICAL (1-9)
Platyceps bholanathi,Colubridae,non-venomous,DD,ZSI-2025,Platyceps bholanathi,4,CRITICAL (1-9)
Ptyas nigromarginata,Colubridae,non-venomous,LC,ZSI-2025,Ptyas nigromarginata,4,CRITICAL (1-9)
Rhabdops aquaticus,Colubridae,non-venomous,LC,ZSI-2025,Rhabdops aquaticus,4,CRITICAL (1-9)
Thalassophina viperina,Elapidae,venomous,LC,ZSI-2025,Thalassophina viperina,0,MISSING (0)
Sinomicrurus peinani,Elapidae,venomous,NE,ZSI-2025,Sinomicrurus peinani,0,MISSING (0)
Trimeresurus fasciatus,Viperidae,venomous,DD,ZSI-2025,Trimeresurus fasciatus,0,MISSING (0)
Trimeresurus labialis,Viperidae,venomous,LC,ZSI-2025,Trimeresurus labialis,0,MISSING (0)
Protobothrops kaulbacki,Viperidae,venomous,LC,ZSI-2025,Protobothrops kaulbacki,0,MISSING (0)
Trimeresurus cantori,Viperidae,venomous,VU,ZSI-2025,Trimeresurus cantori,0,MISSING (0)
Rhinophis fergusonianus,Uropeltidae,non-venomous,DD,ZSI-2025,Rhinophis fergusonianus,0,MISSING (0)
Rhinophis goweri,Uropeltidae,non-venomous,DD,ZSI-2025,Rhinophis goweri,0,MISSING (0)
Platyplectrurus trilineatus,Uropeltidae,non-venomous,LC,ZSI-2025,Platyplectrurus trilineatus,0,MISSING (0)
Craspedocephalus peltopelor,Viperidae,venomous,NE,ZSI-2025,Craspedocephalus peltopelor,0,MISSING (0)
Plectrurus aureus,Uropeltidae,non-venomous,DD,ZSI-2025,Plectrurus aureus,0,MISSING (0)
Plectrurus guentheri,Uropeltidae,non-venomous,LC,ZSI-2025,Plectrurus guentheri,0,MISSING (0)
Gonyosoma prasinum,Colubridae,non-venomous,LC,ZSI-2025,Gonyosoma prasinum,0,MISSING (0)
Dendrelaphis humayuni,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis humayuni,0,MISSING (0)
Dendrelaphis proarchos,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis proarchos,0,MISSING (0)
Dendrelaphis vogeli,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis vogeli,0,MISSING (0)
Dendrelaphis walli,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis walli,0,MISSING (0)
Elachistodon westermanni,Colubridae,mildly venomous,LC,ZSI-2025,Elachistodon westermanni,0,MISSING (0)
Dendrelaphis biloreatus,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis biloreatus,0,MISSING (0)
Coronella brachyura,Colubridae,non-venomous,LC,ZSI-2025,Coronella brachyura,0,MISSING (0)
Uropeltis shevaroyensis,Uropeltidae,non-venomous,NE,ZSI-2025,Uropeltis shevaroyensis,0,MISSING (0)
Uropeltis shorttii,Uropeltidae,non-venomous,DD,ZSI-2025,Uropeltis shorttii,0,MISSING (0)
Uropeltis perroteti,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis perroteti,0,MISSING (0)
Uropeltis ocellata,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis ocellata,0,MISSING (0)
Uropeltis rajendrani,Uropeltidae,non-venomous,NE,ZSI-2025,Uropeltis rajendrani,0,MISSING (0)
Uropeltis pulneyensis,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis pulneyensis,0,MISSING (0)
Fowlea schnurrenbergeri,Colubridae,non-venomous,LC,ZSI-2025,Fowlea schnurrenbergeri,0,MISSING (0)
Fowlea sanctijohannis,Colubridae,non-venomous,LC,ZSI-2025,Fowlea sanctijohannis,0,MISSING (0)
Liopeltis frenatus,Colubridae,non-venomous,LC,ZSI-2025,Liopeltis frenatus,0,MISSING (0)
Uropeltis maculata,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis maculata,0,MISSING (0)
Hebius xenura,Colubridae,non-venomous,LC,ZSI-2025,Hebius xenura,0,MISSING (0)
Herpetoreas sieboldii,Colubridae,non-venomous,LC,ZSI-2025,Herpetoreas sieboldii,0,MISSING (0)
Hebius platyceps,Colubridae,non-venomous,LC,ZSI-2025,Hebius platyceps,0,MISSING (0)
Hebius pealii,Colubridae,non-venomous,DD,ZSI-2025,Hebius pealii,0,MISSING (0)
Hebius parallelum,Colubridae,non-venomous,LC,ZSI-2025,Hebius parallelum,0,MISSING (0)
Hebius venningi,Colubridae,non-venomous,LC,ZSI-2025,Hebius venningi,0,MISSING (0)
Hebius octolineatum,Colubridae,non-venomous,LC,ZSI-2025,Hebius octolineatum,0,MISSING (0)
Hebius nicobariense,Colubridae,non-venomous,DD,ZSI-2025,Hebius nicobariense,0,MISSING (0)
Uropeltis nitida,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis nitida,0,MISSING (0)
Uropeltis nilgherriensis,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis nilgherriensis,0,MISSING (0)
Uropeltis myhendrae,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis myhendrae,0,MISSING (0)
Uropeltis madurensis,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis madurensis,0,MISSING (0)
Uropeltis phipsonii,Uropeltidae,non-venomous,VU,ZSI-2025,Uropeltis phipsonii,0,MISSING (0)
Uropeltis petersi,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis petersi,0,MISSING (0)
Lycodon muelleri,Colubridae,non-venomous,LC,ZSI-2025,Lycodon muelleri,0,MISSING (0)
Lycodon septentrionalis,Colubridae,non-venomous,LC,ZSI-2025,Lycodon septentrionalis,0,MISSING (0)
Hebius andamanense,Colubridae,non-venomous,LC,ZSI-2025,Hebius andamanense,0,MISSING (0)
Hebius bitaeniatum,Colubridae,non-venomous,LC,ZSI-2025,Hebius bitaeniatum,0,MISSING (0)
Hebius clerki,Colubridae,non-venomous,LC,ZSI-2025,Hebius clerki,0,MISSING (0)
Hebius modestum,Colubridae,non-venomous,LC,ZSI-2025,Hebius modestum,0,MISSING (0)
Boiga wallachi,Colubridae,mildly venomous,LC,ZSI-2025,Boiga wallachi,0,MISSING (0)
Boiga whitakeri,Colubridae,mildly venomous,NE,ZSI-2025,Boiga whitakeri,0,MISSING (0)
Boiga thackerayi,Colubridae,mildly venomous,NE,ZSI-2025,Boiga thackerayi,0,MISSING (0)
Uropeltis macrorhyncha,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis macrorhyncha,0,MISSING (0)
Uropeltis liura,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis liura,0,MISSING (0)
Uropeltis kolliensis,Uropeltidae,non-venomous,NE,ZSI-2025,Uropeltis kolliensis,0,MISSING (0)
Fowlea punctatus,Colubridae,non-venomous,LC,ZSI-2025,Fowlea punctatus,0,MISSING (0)
Elaphe hodgsonii,Colubridae,non-venomous,LC,ZSI-2025,Elaphe hodgsonii,0,MISSING (0)
Boiga quincunciata,Colubridae,mildly venomous,LC,ZSI-2025,Boiga quincunciata,0,MISSING (0)
Protobothrops himalayanus,Viperidae,venomous,NE,ZSI-2025,Protobothrops himalayanus,0,MISSING (0)
Uropeltis starckeae,Uropeltidae,non-venomous,NE,ZSI-2025,Uropeltis starckeae,0,MISSING (0)
Uropeltis woodmasoni,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis woodmasoni,0,MISSING (0)
Uropeltis snyderi,Uropeltidae,non-venomous,NE,ZSI-2025,Uropeltis snyderi,0,MISSING (0)
Uropeltis smithi,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis smithi,0,MISSING (0)
Uropeltis rubromaculata,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis rubromaculata,0,MISSING (0)
Dendrelaphis gorei,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis gorei,0,MISSING (0)
Craspedocephalus occidentalis,Viperidae,venomous,NE,ZSI-2025,Craspedocephalus occidentalis,0,MISSING (0)
Plectrurus canaricus,Uropeltidae,non-venomous,DD,ZSI-2025,Plectrurus canaricus,0,MISSING (0)
Craspedocephalus andersonii,Viperidae,venomous,LC,ZSI-2025,Craspedocephalus andersonii,0,MISSING (0)
Craspedocephalus anamallensis,Viperidae,venomous,LC,ZSI-2025,Craspedocephalus anamallensis,0,MISSING (0)
Argyrophis albiceps,Typhlopidae,non-venomous,LC,ZSI-2025,Argyrophis albiceps,0,MISSING (0)
Myriopholis blanfordii,Leptotyphlopidae,non-venomous,LC,ZSI-2025,Myriopholis blanfordii,0,MISSING (0)
Argyrophis oatesii,Typhlopidae,non-venomous,DD,ZSI-2025,Argyrophis oatesii,0,MISSING (0)
Rhinophis karinthandani,Uropeltidae,non-venomous,NE,ZSI-2025,Rhinophis karinthandani,0,MISSING (0)
Gerrhopilus tindalli,Gerrhopilidae,non-venomous,LC,ZSI-2025,Gerrhopilus tindalli,0,MISSING (0)
Argyrophis giadinhensis,Typhlopidae,non-venomous,DD,ZSI-2025,Argyrophis giadinhensis,0,MISSING (0)
