scientific_name,family,venomous_status,iucn_status,source
Fowlea sanctijohannis,Colubridae,non-venomous,LC,ZSI-2025
Fowlea schnurrenbergeri,Colubridae,non-venomous,LC,ZSI-2025
Gonyosoma coeruleum,Colubridae,non-venomous,NE,ZSI-2025
Gonyosoma frenatum,Colubridae,non-venomous,LC,ZSI-2025
Gonyosoma oxycephalum,Colubridae,non-venomous,LC,ZSI-2025
Gonyosoma prasinum,Colubridae,non-venomous,LC,ZSI-2025
Hebius andamanense,Colubridae,non-venomous,LC,ZSI-2025
Hebius beddomei,Colubridae,non-venomous,LC,ZSI-2025
Hebius bitaeniatum,Colubridae,non-venomous,LC,ZSI-2025
Hebius clerki,Colubridae,non-venomous,LC,ZSI-2025
Hebius khasiensis,Colubridae,non-venomous,LC,ZSI-2025
Hebius modestum,Colubridae,non-venomous,LC,ZSI-2025
Hebius monticola,Colubridae,non-venomous,LC,ZSI-2025
Hebius nicobariense,Colubridae,non-venomous,DD,ZSI-2025
Hebius octolineatum,Colubridae,non-venomous,LC,ZSI-2025
Hebius parallelum,Colubridae,non-venomous,LC,ZSI-2025
Hebius pealii,Colubridae,non-venomous,DD,ZSI-2025
Hebius platyceps,Colubridae,non-venomous,LC,ZSI-2025
Hebius venningi,Colubridae,non-venomous,LC,ZSI-2025
Hebius xenura,Colubridae,non-venomous,LC,ZSI-2025
Herpetoreas sieboldii,Colubridae,non-venomous,LC,ZSI-2025
Liopeltis calamaria,Colubridae,non-venomous,LC,ZSI-2025
Liopeltis frenatus,Colubridae,non-venomous,LC,ZSI-2025
Liopeltis rappi,Colubridae,non-venomous,LC,ZSI-2025
Liopeltis stoliczkae,Colubridae,non-venomous,LC,ZSI-2025
Lycodon albofuscus,Colubridae,non-venomous,LC,ZSI-2025
Lycodon anamallensis,Colubridae,non-venomous,LC,ZSI-2025
Lycodon aulicus,Colubridae,non-venomous,LC,ZSI-2025
Lycodon capucinus,Colubridae,non-venomous,LC,ZSI-2025
Lycodon cathiensis,Colubridae,non-venomous,NE,ZSI-2025
Lycodon chithrasekarai,Colubridae,non-venomous,NE,ZSI-2025
Lycodon deccanensis,Colubridae,non-venomous,NE,ZSI-2025
Lycodon fasciatus,Colubridae,non-venomous,LC,ZSI-2025
Lycodon flavicollis,Colubridae,non-venomous,LC,ZSI-2025
Lycodon flavomaculatus,Colubridae,non-venomous,LC,ZSI-2025
Lycodon gammiei,Colubridae,non-venomous,DD,ZSI-2025
Lycodon hypsirhinoides,Colubridae,non-venomous,DD,ZSI-2025
Lycodon jara,Colubridae,non-venomous,LC,ZSI-2025
Lycodon mackinnoni,Colubridae,non-venomous,LC,ZSI-2025
Lycodon muelleri,Colubridae,non-venomous,LC,ZSI-2025
Lycodon septentrionalis,Colubridae,non-venomous,LC,ZSI-2025
Lycodon striatus,Colubridae,non-venomous,LC,ZSI-2025
Lycodon tiwarii,Colubridae,non-venomous,LC,ZSI-2025
Lycodon travancoricus,Colubridae,non-venomous,LC,ZSI-2025
Lycodon zawi,Colubridae,non-venomous,LC,ZSI-2025
Oligodon affinis,Colubridae,non-venomous,LC,ZSI-2025
Oligodon albocinctus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon arnensis,Colubridae,non-venomous,LC,ZSI-2025
Oligodon catenatus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon churahensis,Colubridae,non-venomous,NE,ZSI-2025
Oligodon cinereus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon cruentatus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon cyclurus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon dorsalis,Colubridae,non-venomous,LC,ZSI-2025
Oligodon erythrogaster,Colubridae,non-venomous,LC,ZSI-2025
Oligodon erythrorhachis,Colubridae,non-venomous,DD,ZSI-2025
Oligodon fasciatus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon juglandifer,Colubridae,non-venomous,LC,ZSI-2025
Oligodon kheriensis,Colubridae,non-venomous,DD,ZSI-2025
Oligodon mcdowelli,Colubridae,non-venomous,LC,ZSI-2025
Oligodon melaneus,Colubridae,non-venomous,DD,ZSI-2025
Oligodon melanozonatus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon nagao,Colubridae,non-venomous,NE,ZSI-2025
Oligodon nikhili,Colubridae,non-venomous,DD,ZSI-2025
Oligodon planiceps,Colubridae,non-venomous,LC,ZSI-2025
Oligodon purpurascens,Colubridae,non-venomous,LC,ZSI-2025
Oligodon rostripetiolaris,Colubridae,non-venomous,NE,ZSI-2025
Oligodon taeniolatus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon theobaldi,Colubridae,non-venomous,LC,ZSI-2025
Oligodon travancoricus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon venustus,Colubridae,non-venomous,LC,ZSI-2025
Oligodon woodmasoni,Colubridae,non-venomous,LC,ZSI-2025
Opisthotropis andersonii,Colubridae,non-venomous,LC,ZSI-2025
Opisthotropis maculosa,Colubridae,non-venomous,LC,ZSI-2025
Plagiopholis blakewayi,Colubridae,non-venomous,LC,ZSI-2025
Plagiopholis nuchalis,Colubridae,non-venomous,LC,ZSI-2025
Platyceps bholanathi,Colubridae,non-venomous,DD,ZSI-2025
Platyceps karelini,Colubridae,non-venomous,LC,ZSI-2025
Platyceps plinii,Colubridae,non-venomous,LC,ZSI-2025
Platyceps rhodorachis,Colubridae,non-venomous,LC,ZSI-2025
Platyceps ventromaculatus,Colubridae,non-venomous,LC,ZSI-2025
Pseudoxenodon macrops,Colubridae,non-venomous,LC,ZSI-2025
Pseudoxenodon bambusicola,Colubridae,non-venomous,LC,ZSI-2025
Ptyas carinata,Colubridae,non-venomous,LC,ZSI-2025
Ptyas dhumnades,Colubridae,non-venomous,LC,ZSI-2025
Ptyas korros,Colubridae,non-venomous,LC,ZSI-2025
Ptyas mucosa,Colubridae,non-venomous,LC,ZSI-2025
Ptyas nigromarginata,Colubridae,non-venomous,LC,ZSI-2025
Rhabdops aquaticus,Colubridae,non-venomous,LC,ZSI-2025
Rhabdops olivaceus,Colubridae,non-venomous,LC,ZSI-2025
Rhabdophis bindi,Colubridae,mildly venomous,NE,ZSI-2025
Rhabdophis chrysargos,Colubridae,mildly venomous,LC,ZSI-2025
Rhabdophis himalayanus,Colubridae,mildly venomous,LC,ZSI-2025
Rhabdophis leonardi,Colubridae,mildly venomous,LC,ZSI-2025
Rhabdophis nuchalis,Colubridae,mildly venomous,LC,ZSI-2025
Rhabdophis subminiatus,Colubridae,mildly venomous,LC,ZSI-2025
Sibynophis bistrigatus,Colubridae,non-venomous,LC,ZSI-2025
Sibynophis collaris,Colubridae,non-venomous,LC,ZSI-2025
Sibynophis sagittarius,Colubridae,non-venomous,LC,ZSI-2025
Sibynophis subpunctatus,Colubridae,non-venomous,LC,ZSI-2025
Sibynophis triangularis,Colubridae,non-venomous,LC,ZSI-2025
Spalerosophis arenarius,Colubridae,non-venomous,LC,ZSI-2025
Spalerosophis diadema,Colubridae,non-venomous,LC,ZSI-2025
Trachischium apteii,Colubridae,non-venomous,NE,ZSI-2025
Trachischium fuscum,Colubridae,non-venomous,LC,ZSI-2025
Trachischium guentheri,Colubridae,non-venomous,LC,ZSI-2025
Trachischium laeve,Colubridae,non-venomous,LC,ZSI-2025
Bitia hydroides,Homalopsidae,mildly venomous,LC,ZSI-2025
Cantoria violacea,Homalopsidae,mildly venomous,LC,ZSI-2025
Cerberus rynchops,Homalopsidae,mildly venomous,LC,ZSI-2025
Cerberus schneiderii,Homalopsidae,mildly venomous,LC,ZSI-2025
Dieurostus dussumieri,Homalopsidae,mildly venomous,LC,ZSI-2025
Fordonia leucobalia,Homalopsidae,mildly venomous,LC,ZSI-2025
Gerarda prevostiana,Homalopsidae,mildly venomous,LC,ZSI-2025
Homalopsis buccata,Homalopsidae,mildly venomous,LC,ZSI-2025
Phytolopsis punctata,Homalopsidae,mildly venomous,LC,ZSI-2025
Asthenodipsas hexagonotus,Pareidae,non-venomous,LC,ZSI-2025
Pareas andersonii,Pareidae,non-venomous,LC,ZSI-2025
Pareas berdmorei,Pareidae,non-venomous,NE,ZSI-2025
Pareas carinatus,Pareidae,non-venomous,LC,ZSI-2025
Pareas kaduri,Pareidae,non-venomous,NE,ZSI-2025
Pareas macularius,Pareidae,non-venomous,LC,ZSI-2025
Pareas margaritophorus,Pareidae,non-venomous,LC,ZSI-2025
Pareas modestus,Pareidae,non-venomous,LC,ZSI-2025
Pareas monticola,Pareidae,non-venomous,LC,ZSI-2025
Pareas victorianus,Pareidae,non-venomous,NE,ZSI-2025
Psammophis condanarus,Psammophiidae,mildly venomous,LC,ZSI-2025
Psammophis leithii,Psammophiidae,mildly venomous,LC,ZSI-2025
Psammophis lineolatus,Psammophiidae,mildly venomous,LC,ZSI-2025
Psammophis schokari,Psammophiidae,mildly venomous,LC,ZSI-2025
Psammodynastes pulverulentus,Psammodynastidae,mildly venomous,LC,ZSI-2025
Achalinus emilyae,Xenodermidae,non-venomous,NE,ZSI-2025
Achalinus jinggangensis,Xenodermidae,non-venomous,DD,ZSI-2025
Bungarus andamanensis,Elapidae,venomous,VU,ZSI-2025
Bungarus bungaroides,Elapidae,venomous,LC,ZSI-2025
Bungarus caeruleus,Elapidae,venomous,LC,ZSI-2025
Bungarus fasciatus,Elapidae,venomous,LC,ZSI-2025
Bungarus lividus,Elapidae,venomous,LC,ZSI-2025
Bungarus niger,Elapidae,venomous,LC,ZSI-2025
Bungarus sindanus,Elapidae,venomous,LC,ZSI-2025
Bungarus walli,Elapidae,venomous,LC,ZSI-2025
Calliophis beddomei,Elapidae,venomous,LC,ZSI-2025
Calliophis bibroni,Elapidae,venomous,LC,ZSI-2025
Calliophis castoe,Elapidae,venomous,DD,ZSI-2025
Calliophis maculiceps,Elapidae,venomous,LC,ZSI-2025
Calliophis melanurus,Elapidae,venomous,LC,ZSI-2025
Calliophis nigrescens,Elapidae,venomous,LC,ZSI-2025
Hydrophis caerulescens,Elapidae,venomous,LC,ZSI-2025
Hydrophis cantoris,Elapidae,venomous,DD,ZSI-2025
Hydrophis curtus,Elapidae,venomous,LC,ZSI-2025
Hydrophis cyanocinctus,Elapidae,venomous,LC,ZSI-2025
Hydrophis fasciatus,Elapidae,venomous,LC,ZSI-2025
Hydrophis gracilis,Elapidae,venomous,LC,ZSI-2025
Hydrophis lapemoides,Elapidae,venomous,LC,ZSI-2025
Hydrophis mamillaris,Elapidae,venomous,DD,ZSI-2025
Hydrophis melanosoma,Elapidae,venomous,LC,ZSI-2025
Hydrophis nigrocinctus,Elapidae,venomous,LC,ZSI-2025
Hydrophis obscurus,Elapidae,venomous,LC,ZSI-2025
Hydrophis ornatus,Elapidae,venomous,LC,ZSI-2025
Hydrophis platurus,Elapidae,venomous,LC,ZSI-2025
Hydrophis schistosus,Elapidae,venomous,LC,ZSI-2025
Hydrophis spiralis,Elapidae,venomous,LC,ZSI-2025
Hydrophis stricticollis,Elapidae,venomous,LC,ZSI-2025
Hydrophis viperinus,Elapidae,venomous,LC,ZSI-2025
Laticauda colubrina,Elapidae,venomous,LC,ZSI-2025
Laticauda laticaudata,Elapidae,venomous,LC,ZSI-2025
Microcephalophis cantoris,Elapidae,venomous,LC,ZSI-2025
Microcephalophis gracilis,Elapidae,venomous,LC,ZSI-2025
Naja kaouthia,Elapidae,venomous,LC,ZSI-2025
Naja naja,Elapidae,venomous,LC,ZSI-2025
Naja oxiana,Elapidae,venomous,NT,ZSI-2025
Naja sagittifera,Elapidae,venomous,LC,ZSI-2025
Ophiophagus hannah,Elapidae,venomous,VU,ZSI-2025
Ophiophagus kaalinga,Elapidae,venomous,NE,ZSI-2025
Sinomicrurus gorei,Elapidae,venomous,LC,ZSI-2025
Sinomicrurus macclellandi macclellandi,Elapidae,venomous,LC,ZSI-2025
Sinomicrurus macclellandi univirgatus,Elapidae,venomous,LC,ZSI-2025
Sinomicrurus peinani,Elapidae,venomous,NE,ZSI-2025
Thalassophina viperina,Elapidae,venomous,LC,ZSI-2025
Craspedocephalus anamallensis,Viperidae,venomous,LC,ZSI-2025
Craspedocephalus andersonii,Viperidae,venomous,LC,ZSI-2025
Craspedocephalus borneensis,Viperidae,venomous,LC,ZSI-2025
Craspedocephalus gramineus,Viperidae,venomous,LC,ZSI-2025
Craspedocephalus macrolepis,Viperidae,venomous,NT,ZSI-2025
Craspedocephalus malabaricus,Viperidae,venomous,LC,ZSI-2025
Craspedocephalus occidentalis,Viperidae,venomous,NE,ZSI-2025
Craspedocephalus peltopelor,Viperidae,venomous,NE,ZSI-2025
Craspedocephalus strigatus,Viperidae,venomous,LC,ZSI-2025
Craspedocephalus travancoricus,Viperidae,venomous,NE,ZSI-2025
Daboia russelii,Viperidae,venomous,LC,ZSI-2025
Echis carinatus carinatus,Viperidae,venomous,LC,ZSI-2025
Echis carinatus sochureki,Viperidae,venomous,LC,ZSI-2025
Gloydius himalayanus,Viperidae,venomous,LC,ZSI-2025
Hypnale hypnale,Viperidae,venomous,LC,ZSI-2025
Hypnale zara,Viperidae,venomous,LC,ZSI-2025
Macrovipera lebetina,Viperidae,venomous,LC,ZSI-2025
Ovophis monticola,Viperidae,venomous,LC,ZSI-2025
Protobothrops erythrurus,Viperidae,venomous,LC,ZSI-2025
Protobothrops himalayanus,Viperidae,venomous,NE,ZSI-2025
Protobothrops jerdonii,Viperidae,venomous,LC,ZSI-2025
Protobothrops kaulbacki,Viperidae,venomous,LC,ZSI-2025
Protobothrops mucrosquamatus,Viperidae,venomous,LC,ZSI-2025
Trimeresurus albolabris,Viperidae,venomous,LC,ZSI-2025
Trimeresurus cantori,Viperidae,venomous,VU,ZSI-2025
Trimeresurus erythrurus,Viperidae,venomous,LC,ZSI-2025
Trimeresurus fasciatus,Viperidae,venomous,DD,ZSI-2025
Trimeresurus gumprechti,Viperidae,venomous,LC,ZSI-2025
Trimeresurus labialis,Viperidae,venomous,LC,ZSI-2025
Trimeresurus mayaae,Viperidae,venomous,NE,ZSI-2025
Trimeresurus medoensis,Viperidae,venomous,LC,ZSI-2025
Trimeresurus popeiorum,Viperidae,venomous,LC,ZSI-2025
Trimeresurus purpureomaculatus,Viperidae,venomous,LC,ZSI-2025
Trimeresurus salazar,Viperidae,venomous,NE,ZSI-2025
Trimeresurus septentrionalis,Viperidae,venomous,LC,ZSI-2025
